,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
9225,108954,Padre Burgos CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,PADRE BURGOS,Padre Burgos-Agdangan,3rd District,School with no Annexes,,-,108954.0,-,1/1/1917,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108954.0,59.0,65.0,82.0,87.0,59.0,61.0,112.0,85.0,91.0,69.0,75.0,70.0,63.0,51.0,11.0,2.0,,,,,,,,,,,,,485000.0,108954.0,18.0,0.0,6.0,0.0,0.0,3.0,30.0,0.0,485000.0
9227,107532,Padre Garcia CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,PADRE GARCIA,Padre Garcia,4th District,School with no Annexes,,-,107532.0,,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,107532.0,108.0,96.0,98.0,86.0,109.0,84.0,108.0,93.0,79.0,85.0,79.0,86.0,66.0,65.0,11.0,13.0,,,,,,,,,,,,,505000.0,107532.0,15.0,0.0,0.0,0.0,0.0,5.0,21.0,1.0,505000.0
9228,107594,Padre Imo Luna MES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SAN JOSE,San Jose,4th District,Mother school,PILMES,PPPIL,107594.0,JA DE VILLA,1/1/1920,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,107594.0,125.0,146.0,159.0,149.0,153.0,156.0,188.0,145.0,183.0,185.0,136.0,146.0,166.0,139.0,34.0,26.0,,,,,,,,,,,,,964000.0,107594.0,38.0,2.0,0.0,0.0,0.0,6.0,43.0,3.0,964000.0
9231,108375,Paete CS,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,PAETE,Paete,4th District,Mother school,,,108375.0,E.Adao St. Bagumbayan,1/1/1962,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Urban,108375.0,115.0,120.0,149.0,146.0,147.0,165.0,186.0,160.0,148.0,152.0,152.0,160.0,142.0,114.0,20.0,13.0,,,,,,,,,,,,,887000.0,108375.0,39.0,0.0,0.0,0.0,0.0,5.0,47.0,2.0,887000.0
9236,108970,Pagbilao CES (Pagbilao CES & Pabilao East CES),Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,PAGBILAO,Pagbilao,1st District,School with no Annexes,,-,108970.0,Bonifacio,1/1/1911,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108970.0,98.0,113.0,120.0,127.0,130.0,124.0,127.0,141.0,118.0,150.0,121.0,120.0,127.0,134.0,24.0,8.0,,,,,,,,,,,,,766000.0,108970.0,37.0,0.0,0.0,0.0,0.0,8.0,35.0,1.0,766000.0
9250,108626,Pahinga Norte ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,CANDELARIA,Candelaria East,2nd District,School with no Annexes,,-,108626.0,Brgy. Pahinga Norte,1/1/1956,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108626.0,103.0,84.0,136.0,105.0,150.0,108.0,147.0,104.0,138.0,111.0,111.0,109.0,94.0,80.0,8.0,6.0,,,,,,,,,,,,,582000.0,108626.0,25.0,0.0,0.0,0.0,0.0,2.0,26.0,1.0,582000.0
9345,164003,Pasong Buaya II ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,IMUS,Imus I,3rd District,School with no Annexes,,-,164003.0,Woodsite IV,6/1/2003,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,164003.0,60.0,65.0,122.0,107.0,97.0,87.0,109.0,89.0,99.0,98.0,83.0,84.0,98.0,98.0,27.0,11.0,,,,,,,,,,,,,531000.0,164003.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,531000.0
9427,109017,Plaridel CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,PLARIDEL,Plaridel,4th District,School with no Annexes,,-,109017.0,J.P. Rizal,1/1/1962,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,109017.0,45.0,52.0,74.0,64.0,60.0,58.0,51.0,56.0,77.0,68.0,49.0,54.0,47.0,58.0,6.0,3.0,,,,,,,,,,,,,410000.0,109017.0,20.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,410000.0
9437,109045,Polillo CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,POLILLO,Polillo,1st District,School with no Annexes,,-,109045.0,Brgy. Poblacion,1/1/1935,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,109045.0,108.0,91.0,102.0,108.0,122.0,130.0,127.0,123.0,130.0,131.0,120.0,125.0,100.0,103.0,10.0,9.0,,,,,,,,,,,,,766000.0,109045.0,35.0,2.0,0.0,0.0,0.0,6.0,43.0,1.0,766000.0
9457,108863,Prlng. Elem. Ng Lucban 1,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,LUCBAN,Lucban,1st District,School with no Annexes,PEL-1,-,108863.0,A. Racelis Ave.,1/1/1910,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,108863.0,111.0,112.0,107.0,104.0,105.0,124.0,110.0,129.0,109.0,164.0,100.0,124.0,114.0,118.0,8.0,8.0,,,,,,,,,,,,,701000.0,108863.0,25.0,0.0,0.0,0.0,0.0,8.0,32.0,1.0,701000.0
9499,109057,Quezon ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,QUEZON,Quezon,4th District,School with no Annexes,,-,109057.0,U. Camacho,1/1/1923,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,109057.0,54.0,58.0,95.0,67.0,80.0,87.0,102.0,84.0,84.0,96.0,84.0,94.0,79.0,93.0,6.0,4.0,,,,,,,,,,,,,569000.0,109057.0,30.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,569000.0
9530,108364,Rizal ES,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,RIZAL,Nagcarlan-Rizal,3rd District,School with no Annexes,RES,-,108364.0,Rizal Avenue,1/1/1921,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,108364.0,77.0,89.0,104.0,115.0,89.0,83.0,107.0,99.0,99.0,92.0,106.0,101.0,99.0,101.0,9.0,2.0,,,,,,,,,,,,,596000.0,108364.0,25.0,5.0,0.0,0.0,0.0,3.0,28.0,1.0,596000.0
9547,107571,Rosario East CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,ROSARIO,Rosario East,4th District,School with no Annexes,,-,107571.0,-,1/1/1938,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107571.0,88.0,84.0,99.0,115.0,113.0,87.0,104.0,116.0,101.0,110.0,110.0,98.0,104.0,113.0,28.0,26.0,,,,,,,,,,,,,632000.0,107571.0,12.0,0.0,0.0,0.0,0.0,8.0,32.0,1.0,632000.0
9548,108091,Rosario ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,ROSARIO,Rosario,1st District,School with no Annexes,,-,108091.0,Marseilla,6/1/1912,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,108091.0,207.0,205.0,287.0,285.0,263.0,242.0,301.0,275.0,263.0,253.0,212.0,217.0,239.0,254.0,13.0,15.0,,,,,,,,,,,,,1438000.0,108091.0,52.0,0.0,0.0,0.0,0.0,7.0,51.0,5.0,1438000.0
9552,109541,Rosario Ocampo Elementary School,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,TAYTAY,Taytay II,1st District,School with no Annexes,ROES,Rosario Ocampo ES,109541.0,Rizal Avenue,1/1/1948,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,109541.0,279.0,305.0,386.0,372.0,394.0,331.0,335.0,298.0,342.0,296.0,292.0,316.0,305.0,305.0,35.0,19.0,,,,,,,,,,,,,1759000.0,109541.0,82.0,0.0,0.0,0.0,0.0,6.0,81.0,1.0,1759000.0
9556,108607,Sabang ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,CALAUAG,Calauag West,4th District,School with no Annexes,,-,108607.0,-,1/1/1962,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108607.0,65.0,66.0,77.0,67.0,62.0,54.0,93.0,78.0,79.0,73.0,56.0,56.0,52.0,48.0,9.0,6.0,,,,,,,,,,,,,447000.0,108607.0,20.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,447000.0
9572,107912,Salawag ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Dasmarinas City,CITY OF DASMARIÑAS,Dasmariñas I,4th District,School with no Annexes,,-,107912.0,Salawag,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,107912.0,206.0,228.0,381.0,321.0,354.0,337.0,414.0,347.0,382.0,334.0,318.0,315.0,331.0,367.0,38.0,25.0,,,,,,,,,,,,,1690000.0,107912.0,37.0,0.0,0.0,0.0,0.0,3.0,82.0,0.0,1690000.0
9588,109554,Sampaga ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas City,BATANGAS CITY (Capital),Batangas City New District,2nd District,School with no Annexes,Sampaga ES,-,109554.0,Sampaga,1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Partially Urban,109554.0,27.0,32.0,28.0,32.0,35.0,27.0,29.0,35.0,37.0,34.0,45.0,27.0,26.0,30.0,18.0,3.0,,,,,,,,,,,,,240000.0,109554.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,240000.0
9598,109085,Sampaloc ES Main,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,SAMPALOC,Sampaloc,1st District,School with no Annexes,,,109085.0,Quezon,1/1/1910,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,109085.0,47.0,49.0,46.0,51.0,55.0,54.0,55.0,59.0,60.0,66.0,66.0,67.0,70.0,55.0,9.0,8.0,,,,,,,,,,,,,446000.0,109085.0,24.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,446000.0
9617,109112,San Antonio CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,SAN ANTONIO,San Antonio,2nd District,School with no Annexes,,-,109112.0,Brgy. Poblacion,1/1/1939,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,109112.0,89.0,69.0,109.0,89.0,108.0,91.0,112.0,89.0,143.0,90.0,89.0,89.0,103.0,88.0,19.0,16.0,,,,,,,,,,,,,600000.0,109112.0,25.0,0.0,0.0,0.0,0.0,3.0,30.0,1.0,600000.0
9723,107943,San Jose ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,GEN. MARIANO ALVAREZ,General Mariano Alvarez,5th District,School with no Annexes,none,none,107943.0,San Jose,6/1/1968,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,107943.0,155.0,136.0,241.0,211.0,263.0,215.0,283.0,245.0,221.0,203.0,219.0,195.0,208.0,240.0,52.0,34.0,,,,,,,,,,,,,1272000.0,107943.0,55.0,0.0,0.0,0.0,0.0,5.0,67.0,3.0,1272000.0
9727,109478,San Jose ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,RODRIGUEZ (MONTALBAN),Rodriguez I (Rodriguez),2nd District,School with no Annexes,SJES,-,109478.0,Narra St.,1/1/1965,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,109478.0,250.0,217.0,398.0,358.0,399.0,351.0,393.0,358.0,350.0,313.0,325.0,314.0,316.0,318.0,67.0,32.0,,,,,,,,,,,,,1780000.0,109478.0,59.0,0.0,0.0,0.0,0.0,7.0,88.0,1.0,1780000.0
9734,107631,San Juan East Central School,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SAN JUAN,San Juan East,4th District,School with no Annexes,,Paaralang Sentral ng Silangang San Juan,107631.0,Hall St.,1/1/1937,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107631.0,51.0,48.0,48.0,54.0,70.0,63.0,62.0,62.0,94.0,74.0,88.0,61.0,65.0,61.0,17.0,9.0,,,,,,,,,,,,,466000.0,107631.0,20.0,3.0,0.0,0.0,0.0,4.0,23.0,1.0,466000.0
9748,107632,San Juan West CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SAN JUAN,San Juan West,4th District,School with no Annexes,,San Juan ES,107632.0,JP Rizal,1/1/1915,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107632.0,99.0,101.0,132.0,96.0,109.0,125.0,133.0,125.0,129.0,122.0,128.0,130.0,124.0,113.0,6.0,3.0,,,,,,,,,,,,,750000.0,107632.0,8.0,0.0,12.0,0.0,0.0,8.0,31.0,1.0,750000.0
9767,109494,San Mateo ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,SAN MATEO,San Mateo,2nd District,School with no Annexes,SMES,-,109494.0,B. Mariano St.,1/1/1932,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,109494.0,103.0,124.0,206.0,173.0,172.0,155.0,197.0,179.0,171.0,157.0,168.0,122.0,139.0,150.0,48.0,37.0,,,,,,,,,,,,,896000.0,109494.0,30.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,896000.0
9780,109152,San Narciso CES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,SAN NARCISO,San Narciso,3rd District,School with no Annexes,,-,109152.0,-,1/1/1928,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,109152.0,89.0,85.0,61.0,61.0,88.0,89.0,120.0,124.0,123.0,119.0,119.0,110.0,106.0,107.0,4.0,5.0,,,,,,,,,,,,,764000.0,109152.0,39.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,764000.0
9781,107666,San Nicolas CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SAN NICOLAS,San Nicolas,3rd District,Mother school,,,107666.0,J.P. Laurel,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Urban,107666.0,61.0,57.0,52.0,77.0,75.0,79.0,94.0,71.0,87.0,61.0,68.0,70.0,67.0,52.0,2.0,2.0,,,,,,,,,,,,,404000.0,107666.0,12.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,404000.0
9791,107685,San Pascual CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SAN PASCUAL,San Pascual,2nd District,School with no Annexes,SPCS,-,107685.0,"-Poblacion, San Pascual, Batangas",1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107685.0,80.0,65.0,99.0,81.0,87.0,78.0,89.0,80.0,80.0,91.0,92.0,64.0,89.0,79.0,13.0,10.0,,,,,,,,,,,,,486000.0,107685.0,16.0,0.0,0.0,0.0,0.0,4.0,21.0,1.0,486000.0
9792,108432,San Pedro CES,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,SAN PEDRO,San Pedro,1st District,School with no Annexes,,-,108432.0,Luna St.,1/1/1912,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,108432.0,126.0,110.0,230.0,176.0,205.0,190.0,229.0,218.0,207.0,174.0,201.0,198.0,213.0,227.0,49.0,28.0,,,,,,,,,,,,,1242000.0,108432.0,38.0,0.0,0.0,0.0,0.0,6.0,63.0,3.0,1242000.0
9796,107709,San Pedro ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SANTO TOMAS,Sto. Tomas South,3rd District,School with no Annexes,,-,107709.0,"Gov. Carpio, San Pedro",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107709.0,87.0,66.0,89.0,88.0,88.0,87.0,110.0,79.0,78.0,91.0,75.0,68.0,75.0,74.0,22.0,11.0,,,,,,,,,,,,,458000.0,107709.0,17.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,458000.0
9850,108446,Santa Cruz CES,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,SANTA CRUZ (Capital),Santa Cruz,4th District,School with no Annexes,SCES,-,108446.0,A. Kamatoy,1/1/1912,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,108446.0,163.0,169.0,202.0,232.0,200.0,219.0,219.0,187.0,196.0,212.0,183.0,218.0,197.0,185.0,46.0,30.0,,,,,,,,,,,,,1230000.0,108446.0,64.0,0.0,0.0,0.0,0.0,7.0,64.0,3.0,1230000.0
9853,108466,Santa Maria ES,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,SANTA MARIA,Santa Maria,4th District,School with no Annexes,SMES,-,108466.0,P. BURGOS ST.,1/1/2002,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Rural,108466.0,53.0,66.0,82.0,88.0,77.0,82.0,104.0,99.0,102.0,66.0,99.0,83.0,69.0,75.0,19.0,8.0,,,,,,,,,,,,,590000.0,108466.0,34.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,590000.0
9856,108482,Santa Rosa Elementary School Central III (Special Science Elementary School),Region IV-A,CALABARZON,LAGUNA,LAGUNA,Sta. Rosa City,CITY OF SANTA ROSA,City of Sta. Rosa District I,1st District,School with no Annexes,SRES CIII (SSES),Santa Rosa Elementary School Central III,108482.0,Rizal Blvd.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,108482.0,181.0,164.0,239.0,236.0,172.0,183.0,182.0,169.0,174.0,183.0,143.0,171.0,139.0,148.0,31.0,14.0,,,,,,,,,,,,,779000.0,108482.0,19.0,0.0,2.0,0.0,0.0,2.0,23.0,0.0,779000.0
9886,109169,Sariaya East Central Main ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,SARIAYA,Sariaya East,2nd District,School with no Annexes,,,109169.0,Rodriguez St.,1/1/1911,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,109169.0,119.0,133.0,188.0,171.0,183.0,202.0,256.0,216.0,231.0,208.0,190.0,177.0,159.0,162.0,47.0,50.0,,,,,,,,,,,,,1088000.0,109169.0,49.0,0.0,0.0,0.0,0.0,11.0,48.0,1.0,1088000.0
9890,109677,Sen. Claro M. Recto MS (Lipa City South CS),Region IV-A,CALABARZON,BATANGAS,BATANGAS,Lipa City,LIPA CITY,Lipa City South District,4th District,School with no Annexes,SCMRMS,-LIPA CITY SOUTH CENTRAL,109677.0,-Kalipulako St. o7 Granja,1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 400 M or more,Component City,Urban,109677.0,85.0,89.0,100.0,97.0,96.0,107.0,118.0,115.0,116.0,130.0,117.0,133.0,120.0,118.0,52.0,41.0,,,,,,,,,,,,,793000.0,109677.0,44.0,0.0,0.0,0.0,0.0,2.0,36.0,10.0,793000.0
9891,109667,Sen. Ma. E. Kalaw Katigbak MS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Lipa City,LIPA CITY,Lipa City North Disrict,4th District,School with no Annexes,,-,109667.0,Marawoy,1/1/1943,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 400 M or more,Component City,Urban,109667.0,129.0,112.0,118.0,125.0,133.0,132.0,149.0,147.0,122.0,126.0,104.0,108.0,92.0,106.0,0.0,0.0,,,,,,,,,,,,,673000.0,109667.0,30.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,673000.0
9900,109495,Silangan ES (Labahan ES),Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,SAN MATEO,San Mateo,2nd District,School with no Annexes,SES,Labahan ES,109495.0,Langka St.,1/1/1986,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,109495.0,206.0,202.0,338.0,307.0,284.0,271.0,380.0,313.0,273.0,281.0,272.0,245.0,232.0,230.0,29.0,14.0,,,,,,,,,,,,,1269000.0,109495.0,31.0,0.0,0.0,0.0,0.0,1.0,57.0,0.0,1269000.0
9944,164526,Southville 5A ES (Langkiwa Annex),Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,CITY OF BIÑAN,Biñan,1st District,Annex or Extension school(s),,-,108221.0,-,1/1/2008,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,164526.0,183.0,197.0,383.0,321.0,394.0,368.0,420.0,372.0,371.0,336.0,331.0,323.0,291.0,296.0,10.0,5.0,,,,,,,,,,,,,1592000.0,164526.0,29.0,0.0,2.0,0.0,,,,,1592000.0
9952,109533,Sta. Ana ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,TAYTAY,Taytay I,1st District,School with no Annexes,SAES,-,109533.0,B. A. Cruz St.,1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,109533.0,140.0,152.0,188.0,175.0,180.0,166.0,195.0,160.0,210.0,157.0,164.0,165.0,147.0,144.0,49.0,25.0,,,,,,,,,,,,,940000.0,109533.0,37.0,0.0,0.0,0.0,0.0,4.0,44.0,0.0,940000.0
9970,107920,Sta. Cruz ES (Dasmariñas BBES E),Region IV-A,CALABARZON,CAVITE,CAVITE,Dasmarinas City,CITY OF DASMARIÑAS,Dasmariñas II,4th District,School with no Annexes,,-,107920.0,Sta. Cruz I,1/1/1986,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,107920.0,346.0,326.0,565.0,474.0,551.0,507.0,636.0,520.0,587.0,505.0,503.0,470.0,445.0,439.0,27.0,23.0,,,,,,,,,,,,,2502000.0,107920.0,88.0,3.0,0.0,0.0,0.0,11.0,114.0,0.0,2502000.0
9992,107694,Sta. Teresita CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SANTA TERESITA,Sta. Teresita,3rd District,School with no Annexes,STCS,Sambat ES,107694.0,-Poblacion II,1/1/1925,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,107694.0,24.0,30.0,37.0,28.0,40.0,28.0,48.0,32.0,34.0,30.0,34.0,32.0,37.0,33.0,4.0,3.0,,,,,,,,,,,,,247000.0,107694.0,4.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,247000.0
10018,107720,Sto. Tomas North CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,SANTO TOMAS,Sto. Tomas North,3rd District,School with no Annexes,STNCS,-,107720.0,Gen. Malvar Avenue,1/1/1916,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107720.0,227.0,193.0,250.0,217.0,233.0,225.0,237.0,211.0,215.0,226.0,201.0,237.0,205.0,204.0,19.0,15.0,,,,,,,,,,,,,1223000.0,107720.0,50.0,0.0,0.0,0.0,0.0,8.0,47.0,0.0,1223000.0
10024,107213,Subic ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,AGONCILLO,Agoncillo,3rd District,School with no Annexes,,-,107213.0,Subic Ibaba,1/1/1928,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,107213.0,72.0,73.0,90.0,80.0,78.0,79.0,80.0,92.0,84.0,77.0,60.0,83.0,58.0,71.0,11.0,4.0,,,,,,,,,,,,,460000.0,107213.0,6.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,460000.0
10046,107734,Taal CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,TAAL,Taal,1st District,School with no Annexes,,-,107734.0,CALLE G. MARELLA,1/1/1917,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Urban,107734.0,105.0,96.0,108.0,96.0,134.0,94.0,120.0,114.0,90.0,93.0,92.0,84.0,87.0,96.0,26.0,15.0,,,,,,,,,,,,,620000.0,107734.0,25.0,0.0,0.0,0.0,0.0,4.0,31.0,1.0,620000.0
10059,108154,Tagaytay City Central School,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,TAGAYTAY CITY,Tagaytay City,7th District,School with no Annexes,TCCS,Tagaytay Elementary School,108154.0,Parra Rd.,6/1/1945,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Urban,108154.0,124.0,99.0,147.0,129.0,168.0,136.0,208.0,150.0,134.0,131.0,133.0,133.0,143.0,141.0,42.0,29.0,,,,,,,,,,,,,906000.0,108154.0,39.0,0.0,0.0,0.0,0.0,3.0,37.0,2.0,906000.0
10066,109229,Tagkawayan CES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,TAGKAWAYAN,Tagkawayan,4th District,School with no Annexes,,-,109229.0,Lagdameo Blvd.,1/1/1941,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,109229.0,92.0,115.0,184.0,155.0,134.0,143.0,163.0,185.0,179.0,144.0,124.0,142.0,128.0,130.0,10.0,10.0,,,,,,,,,,,,,862000.0,109229.0,32.0,0.0,0.0,0.0,0.0,12.0,39.0,0.0,862000.0
10093,108977,Talipan ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,PAGBILAO,Pagbilao,1st District,School with no Annexes,,-,108977.0,-,1/1/1968,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108977.0,87.0,82.0,107.0,95.0,126.0,104.0,145.0,117.0,92.0,93.0,75.0,75.0,66.0,72.0,8.0,4.0,,,,,,,,,,,,,537000.0,108977.0,30.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,537000.0
10123,107781,Tanauan North CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Tanauan City,CITY OF TANAUAN,Tanauan City North,3rd District,School with no Annexes,,-,107781.0,"Brgy. 1, Tanauan City, Batangas",1/1/1962,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Urban,107781.0,143.0,141.0,181.0,156.0,168.0,206.0,191.0,181.0,185.0,204.0,169.0,187.0,169.0,195.0,0.0,0.0,,,,,,,,,,,,,1061000.0,107781.0,46.0,0.0,0.0,0.0,0.0,11.0,51.0,2.0,1061000.0
